Coding System        Code            Condition                                                                       
Read                 Nyu1200         [X]Other specified rheumatoid arthritis                                         
Read                 N040C00         Rheumatoid arthritis of sacro-iliac joint                                       
Read                 N040H00         Rheumatoid arthritis of talonavicular joint                                     
Read                 N040J00         Rheumatoid arthritis of other tarsal joint                                      
Read                 N03x400         Arthritis associated with other disease, dist rad-uln joint                     
Read                 N03xA00         Arthritis associated with other disease, sacro-iliac joint                      
Read                 N03xG00         Arthritis associated with other disease, other tarsal joint                     
Read                 N040400         Rheumatoid arthritis of acromioclavicular joint                                 
Read                 N040600         Rheumatoid arthritis of distal radio-ulnar joint                                
Read                 N040G00         Rheumatoid arthritis of subtalar joint                                          
Read                 N040L00         Rheumatoid arthritis of lesser MTP joint                                        
Read                 N060.11         Endemic polyarthritis                                                           
Read                 N005.           Adult Still's Disease                                                           
Read                 N04y2           Adult-onset Still's disease                                                     
Read                 N040Q           Rheumatoid bursitis                                                             
Read                 N0422           Rheumatoid nodule                                                               
Read                 N0421           Rheumatoid lung disease                                                         
Read                 N040R           Rheumatoid nodule                                                               
Read                 N040N           Rheumatoid vasculitis                                                           
Read                 N0420           Rheumatic carditis                                                              
Read                 N20..           Polymyalgia rheumatica                                                          
Read                 N200.           Gnt cell arter+polymyalg rheum                                                  
Read                 2G27.           O/E-hands-rheumatoid spindling                                                  
Read                 G5y8.           Rheumatoid myocarditis                                                          
Read                 G5yA.           Rheumatoid carditis                                                             
Read                 X103Y           Rheumatoid pneumoconiosis                                                       
Read                 X701h           Seropositive rheumatoid arthritis                                               
Read                 X701i           Seronegative rheumatoid arthritis                                               
Read                 X701j           Rheumatoid arthritis with organ / system involvement                            
Read                 X701k           Fibrosing alveolitis associated with rheumatoid arthritis                       
Read                 X701l           Rheumatoid vasculitis                                                           
Read                 X701m           Rheumatoid arthritis with multisystem involvement                               
Read                 X705t           Nailfold rheumatoid vasculitis                                                  
Read                 X705u           Systemic rheumatoid vasculitis                                                  
Read                 X705v           Necrotising rheumatoid vasculitis                                               
Read                 XE1DU           Rheumatoid arthritis and other inflammatory polyarthropathy                     
Read                 XM1XV           Rheumatoid arthritis monitoring                                                 
Read                 Xa3gL           Rheumatoid arthritis - multiple joint                                           
Read                 Xa3gM           Rheumatoid arthritis - hand joint                                               
Read                 Xa3gN           Rheumatoid arthritis - ankle/foot                                               
Read                 Xa3gO           Rheumatoid arthritis - other joint                                              
Read                 Xa3gP           Rheumatoid arthritis NOS                                                        
Read                 XaBMO           Seropositive errosive rheumatoid arthritis                                      
Read                 XaZdB           Rheumatoid arthritis annual review                                              
Read                 XaaWW           Rheumatoid arthritis monitoring invitation                                      
Read                 XaaWt           Rheumatoid arthritis monitoring invitation first letter                         
Read                 XaaWu           Rheumatoid arthritis monitoring invitation second letter                        
Read                 XaaWv           Rheumatoid arthritis monitoring invitation third letter                         
Read                 XaaWw           Rheumatoid arthritis monitoring verbal invitation                               
Read                 XaaWx           Rheumatoid arthritis monitoring telephone invitation                            
Read                 Xafj8           Rheum arth monitor invitation by SMS (short message service)                    
Read                 Xafj9           Rheumatoid arthritis monitring SMS text msg first invitation                    
Read                 XafjA           Rheumatoid arthritis monitoring SMS text mesg 2nd invitation                    
Read                 XafjB           Rheumatoid arthritis monitoring SMS text mesg 3rd invitation                    
Read                 XagLZ           Rheumatoid arthritis monitoring invitation email                                
